Number,Summary Nr,Report ID,Fatality,NAICS,Event Description,Abstract,Keywords,End User,Project Type,Project Cost,Non building height,Fatality.1,Age,Sex,Degree of injury,occpation,Max T,Min T,Dew Max,Dew Min,Max Wind Speed,Sea Level Pressure (in),Time,Temperature,Dew Point,Humidity,Wind,Pressure,Precip.,Condition,ZipCode,State,Season,Wind Speed,Wind Gust,Latitude,Longitude,Location,Event Date,Cloudcover,Visiblity,Solar Radiation,Solar Energy,UV Index
1,160979.015,111400,X,,Employee Is Killed In Fall From Height,"Abstract:     At 4:25 p.m. on September 28, 2023, an employee was carrying a bundle of roofing material to the rooftop of the building, up a ladder. From interviews and observations, OSHA inspectors learned that the employee fell when he placed roofing materials on the roof and turned to step back onto the ladder-scaffold that was set just below the gutter of the roof (at approximately 25 feet above the blacktop parking lot below). The employee lost his footing and fell to the pavement below. The employee suffered multiple broken bones, including a depression fracture and a compound fracture to the skull. The employee was killed.","Keywords:     Broken Bone, Building, Bundle, Carry, Compound Fracture, Fall, Fall From Elevation, Fracture, Ladder, Parking Lot, Roof, Scaffold, Skull, Slip",Commercial building,Alteration or rehabilitation,,27,X,22,M,Fatality,Roofers,63,52,55.0,49.0,12,30.34,16:54:00,62 °F,52 °F,70 %,E,30.28 in,0.0 in,Fair,2135,MA,Fall,9 mph,0 mph,42.3499829,-71.1539709,MA 02135,2023-09-28,40.7,9,157.5,13.8,7
2,159144.015,155010,X,,Employee Is Killed When Electrocuted And Falls To Ground Lev,"Abstract:     At 11:15 a.m. on August 6, 2023, Employee #1, while sitting in proximity to the roof peak, was attempting to lift a roof hook ladder to install it on the opposing roof slope. Employee #1, while moving the aluminum roof hook ladder, came within the approach distance of the overhead single phase distribution power line. Employee #1 was electrocuted and fell to the ground level below. Employee #1 was killed.","Keywords:     Electrocuted, Fall, Fall From Elevation, Overhead Power Line, Roof",Multi-family dwelling,Maintenance or repair,,35,X,24,M,Fatality,Construction laborers,81,57,60.0,52.0,9,29.68,10:54:00,75 °F,56 °F,51 %,CALM,29.66 in,0.0 in,Fair,5871,VT,Summer,0 mph,0 mph,44.6861814,-71.963683,VT 05871,2023-08-06,27.1,8.3,293.8,25.2,9
3,153462.015,134000,X,,"Employee Falls 17 Feet While Roofing Home, Later Dies","Abstract:     At 8:15 a.m. on September 10, 2022, an employee was performing roofing activities on a second story roof above the garage of a single-family residential home. Duties included setting up drop cloth/tarp from the roof edge to the lower levels. The employee had stripped off the ridge cap when he fell 17 feet from the roof onto the asphalt driveway below. The employee incurred blunt force trauma to his head resulting in a fractured skull. The employee was pronounced dead the following day.","Keywords:     Anchor, Asphalt, Construction, Defect, Fall, Fall From Elevation, Fall Protection, Fracture, Head, Inexperience, Residential Construction, Roof, Roofer, Skull, Work Surface",Single family or duplex dwelling,Maintenance or repair,,17,X,21,M,Fatality,Roofers,80,64,61.0,54.0,12,29.17,07:54:00,68 °F,58 °F,70 %,NW,29.14 in,0.0 in,Fair,1752,MA,Fall,10 mph,0 mph,42.3501652,-71.5509966,MA 01752,2022-09-10,1.8,9.9,200.2,17.3,8
4,147390.015,111700,,,Employee Dies From Blunt Force Trauma To Head And Body After,"Abstract:     At 9:00 a.m. on January 24, 2022, an employee worked on the roof of a wooden shed to remove old shingles. At some point, the employee lost balance, fell approximately thirteen feet and received blunt force trauma to the head and body. The employee was hospitalized in a coma, but later died of the injuries.","Keywords:     Blunt force trauma, Demolition, Fall, Fall From Elevation, Fall Protection, Head, Lost Balance, Roof, Torso",Other building,Other,,13,,42,M,Hospitalized injury,Roofers,29,16,15.0,-6.0,9,29.84,08:56:00,19 °F,9 °F,64 %,NNW,29.82 in,0.0 in,Fair,3827,NH,Winter,9 mph,0 mph,42.9115716,-70.9802437,NH 03827,2022-01-24,47.1,9.6,18.4,1.5,1
5,142088.015,134000,,,Employee Falls Off Roof And Receives Head Injury,"Abstract:     At 9:15 a.m. on December 20, 2021, an employee fell approximately twelve feet off a roof and was hospitalized to treat a head injury.","Keywords:     Fall, Fall From Elevation, Fall Protection, Head, Roof",Multi-family dwelling,Other,,12,,31,M,Hospitalized injury,Roofers,32,20,18.0,10.0,16,30.35,08:54:00,21 °F,10 °F,63 %,NNW,30.32 in,0.0 in,Fair,2451,MA,Winter,7 mph,0 mph,42.3911229,-71.2528792,MA 02451,2021-12-20,6.6,9.9,89.6,7.9,4
6,141726.015,111100,,,"Employee Falls From Roof, Receives Concussion And Fractures","Abstract:     At 3:15 p.m. on December 7, 2021, an employee showed a coworker how to glue down a roofing membrane. The employee was walking backwards when they stepped off the roof and fell approximately thirty-one feet. The employee was hospitalized to treat a concussion and unspecified fractures.","Keywords:     Broken Bone, Concussion, Fall, Fall From Elevation, Fall Protection, Fracture, Glue, Installing, Roof, Roofer, Step, Walking Backward",Other building,Maintenance or repair,,31,,30,M,Hospitalized injury,Roofers,42,26,39.0,9.0,16,29.97,14:53:00,34 °F,11 °F,38 %,WNW,29.81 in,0.0 in,Partly Cloudy,4401,ME,Winter,7 mph,0 mph,44.8210734,-68.8022498,ME 04401,2021-12-07,58.1,9.9,29.2,2.5,2
7,135938.015,112600,X,,Employee Is Killed In Fall From Roof,"Abstract:     At 8:30 a.m. on May 27, 2021, an employee attempted to join coworkers on roof to begin work. The employee fell approximately twenty feet through insulation and was killed.","Keywords:     Fall, Fall Protection, Roof Opening, Thermal Insulation",Other building,Alteration or rehabilitation,,20,X,34,M,Fatality,Construction Laborer,68,52,62.0,36.0,20,29.8,09:51:00,62 °F,52 °F,70 %,W,29.67 in,0.0 in,Fair,1220,MA,Spring,15 mph,22 mph,42.6257406,-73.1200053,MA 01220,2021-05-27,50.1,9.9,212.3,18.3,8
8,135115.015,111500,X,,Employee Slips And Falls And Is Killed,"Abstract:     At 11:30 a.m. on April 23, 2021, an employee worked to clean debris from the roof in preparation for re-roofing. The employee slipped and fell approximately eighteen feet, received blunt force trauma injuries to the head, neck and torso, and was killed.","Keywords:     Blunt force trauma, Cleaning, Fall, Fall Protection, Head, Neck, Roof, Roofer, Torso",Single family or duplex dwelling,Alteration or rehabilitation,,18,X,57,M,Fatality,Roofers,62,39,37.0,24.0,21,29.97,09:53:00,49 °F,26 °F,41 %,W,29.95 in,0.0 in,Fair,6457,CT,Spring,17 mph,25 mph,41.5524195,-72.6658539,CT 06457,2021-04-23,54.3,9.9,257,22.3,9
9,134407.015,111400,X,,Employee Falls And Is Killed,"Abstract:     At 11:30 a.m. on March 6, 2021, an employee replaced a board on a porch roof and then began the process to shingle the roof. At some point, the employee stepped on the newly installed board, which became loose, lost balance, fell approximately twelve feet, and was killed by head, neck and spine trauma.","Keywords:     Blunt force trauma, Board, Fall, Fall Protection, Head, Lost Balance, Neck, Roof, Roofer, Spine",Single family or duplex dwelling,Alteration or rehabilitation,,12,X,54,M,Fatality,Roofers,36,24,9.0,5.0,15,30.04,00:53:00,30 °F,6 °F,36 %,W,29.90 in,0.0 in,Fair,2743,MA,Spring,14 mph,0 mph,41.7009562,-70.9042455,MA 02743,2021-03-06,61.2,9.9,126.2,11,6
10,126911.015,112000,X,,Employee Falls From Roof And Is Killed By Traumatic Injuries,"Abstract:     At 12:00 a.m. on June 9, 2020, an employee was working on the roof of a single family home to remove old roofing product. The employee was wearing a full body harness (Werner Model Number H411002) attached to a snap hook arrest system (Werner Lanyard Model Number N3610) and an anchor located at the ridge of the roof. At some point, the employee lost his balance and fell eighteen feet onto the wooden deck at the back of the home. The employee was killed by traumatic injuries to the head, torso and left arm.","Keywords:     Anchor, Arm, Fall, Fall Protection, Head, Lanyard, Lost Balance, Roof, Roofer, Torso, Traumatic",Single family or duplex dwelling,Alteration or rehabilitation,,18,X,47,M,Fatality,Roofers,87,58,59.0,46.0,15,29.78,23:51:00,69 °F,54 °F,58 %,N,29.76 in,0.0 in,Fair,6037,CT,Summer,9 mph,0 mph,41.6191245,-72.7689219,CT 06037,2020-06-09,40.9,9.9,257.4,22.1,9
